Symbol
WMT
AMZN
AAPL
UNH
CVS
XOM
GOOGL
MCK
COR
COST
JPM
MSFT
CAH
CVX
CI
F
BAC
GM
ELV
C
CNC
HD
MPC
KR
PSX
FNMA
WBA
VLO
META
VZ
T
CMCSA
WFC
GS
FMCC
TGT
HUM
TSLA
MS
JNJ
ADM
PEP
UPS
FDX
DIS
DELL
LOW
PG
ET
BA
ACI
SYY
RTX
GE
LMT
AXP
CAT
MET
HCA
PGR
IBM
DE
NVDA
SNEX
MRK
COP
PFE
DAL
SNX
ALL
CSCO
CHTR
ABBV
INTC
TJX
PRU
HPQ
UAL
PFGC
TSN
AAL
NKE
ORCL
EPD
COF
PAGP
WKC
AIG
KO
BMY
DOW
BBY
TMO
GD
TRV
WBD
USB
ABT
NOC
DG
PBF
UBER
HON
MDLZ
SBUX
QCOM
AVGO
USFD
DHI
PM
PCAR
CRM
NUE
JBL
LEN
LLY
MOH
CMI
BK
NFLX
TFC
ARW
MMM
V
APO
DINO
CBRE
PNC
LAD
KMX
PARA
DLTR
UNFI
PYPL
PAGP
HPE
DUK
OXY
NRG
AMGN
NEE
DHR
GILD
AN
KHC
AVT
AMAT
LUV
SCHW
BKR
MCD
SO
MA
CEG
HIG
PCG
CPNG
EOG
UNP
M
MAR
LEA
GPC
SHW
HAL
FCX
LYV
MMC
AMD
FCNCA
WCC
CARR
CLF
SQ
EXC
KKR
CDW
BKNG
SYF
PWR
JLL
DFS
THC
MO
SYK
KMB
WM
LNG
ROST
GIS
GT
BJ
GEHC
CLF
WHR
LHX
ADBE
BDX
CTSH
MUSA
FI
PH
AEP
IP
MAN
ARMK
STLD
AFL
RGA
EMR
STT
PPG
X
ADP
GPI
D
BLK
OKE
CHRW
TXN
KSS
AZO
CTVA
BLDR
KD
SATS
DK
SRE
GLP
GWW
EIX
MGM
ITW
AMP
PHM
TRGP
ALLY
BWA
EL
L
ORLY
MKL
SWK
MU
FLR
LDOS
VTRS
KMI
ECL
BAX
DVN
K
CASY
IQV
RSG
FOXA
KDP
RS
ABG
VST
ANDE
JWN
OMC
FIS
ED
CSX
ACM
LUMN
TSCO
DXC
AGCO
SAH
INTU
URI
UHS
BSX
OTIS
XEL
BALL
LKQ
MOS
TXT
LH
PFG
REGN
RJF
DKS
EXPE
JBHT
MTB
DTE
AES
BERY
FITB
APD
GLW
EME
APH
WLK
DD
SPGI
CYH
FE
UNM
HSIC
WDC
ADI
CAG
CFG
NSC
ETR
WRB
DVA
NTRS
HRL
CCK
CAR
W
MTZ
ES
NEM
R
FNF
TAP
CZR
LNC
IFF
HII
AAP
PEG
ULTA
HSY
CHWY
AMT
MHK
AIZ
THO
YUMC
CE
QRTEA
WMB
IPG
OVV
IEP
HBAN
CVNA
HES
DAN
AA
EQH
KLAC
ALV
KEY
LVS
OMI
HLT
EBAY
AJG
LPLA
CINF
TOL
MSI
ABNB
ICE
NWSA
CMG
VRTX
BIIB
GXO
SPTN
BURL
NVR
WAB
OC
OSK
GPN
LULU
ALB
JBLU
SEB
STZ
GPK
HTZ
CPB
EXPD
AMRK
BAH
DGX
ATUS
PVH
EMN
NSIT
RF
BECN
ROK
PII
NOW
SANM
UGI
WEC
CTAS
CMC
CNP
NGL
DASH
NOV
ZTS
SJM
MCHP
DOV
FANG
AVY
PPL
ON
ARKO
PARR
APA
EQIX
NYCB
FL
INGR
NWL
ABM
PLD
BX
SKX
MAS
RUSHB
BEN
ODP
AFG
PKG
VMC
IBKR
WSM
XPO
WY
GNW
CMS
SAIC
JEF
BBWI
EA
TMHC
ZBH
CLX
XYL
VOYA
FAST
WSO
WDAY
ORI
RPM
UFPI
AEE
KNX
MNST
ISRG
SMCI
CNXC
OI
